order_id,order_date,region,product,quantity,unit_price,revenue
ORD1035,2026-01-21,East,Gadget X,5,131.04,655.2
ORD1036,2026-05-23,North,Widget B,18,16.84,303.12
ORD1037,4/5/2026,East,Widget A,12,49.9,598.8
ORD1038,2026-05-28,north,Widget B,6,$195.47,1172.82
ORD1039,2026-01-06,East,Gadget X,8,$60.68,485.44
ORD1040,2026-01-28,South,Gadget X,12,$67.98,815.76
ORD1041,2026-01-22,East,Widget A,9,$76.71,690.39
ORD1042,2026-05-11,North,Gadget X,6,$120.3,
ORD1043,2026-05-14,East,Widget A,4,$83.18,332.72
ORD1044,6/14/2026,north,Widget B,12,$91.94,1103.28
ORD1045,2026-05-11,North,Gadget X,17,68.75,1168.75
ORD1046,2026-03-18,West,Gadget X,6,126.94,761.64
ORD1047,2026-01-10,West,Widget A,11,98.34,1081.74
ORD1048,2026-04-26, East ,Widget A,10,$107.93,1079.3
ORD1049,2026-02-22,South,Widget A,8,$196.94,1575.52
ORD1050,2026-04-14,north,Gadget X,16,85.92,1374.72
ORD1051,2026-01-25,South,Widget A,15,19.53,292.95
ORD1052,2026-04-05, East ,Widget A,20,$70.28,1405.6
ORD1053,2026-06-17,north,Widget B,16,$95.5,1528.0
ORD1054,2026-03-25,West,Gadget X,15,24.71,370.65
ORD1055,2026-03-18,South,Widget B,7,22.19,155.33
ORD1056,2026-04-02,West,Widget A,1,$172.77,172.77
ORD1057,2026-01-12,West,Gadget X,18,$152.02,2736.36
ORD1058,2026-02-16,West,Gadget X,11,$137.08,1507.88
ORD1059,2026-04-05,,Gadget X,19,117.22,2227.18
ORD1060,2026-02-28,North,Gadget X,7,96.38,674.66
ORD1061,2026-03-25,West,Widget A,16,$13.67,218.72
ORD1062,2026-03-08, East ,Widget A,8,47.87,382.96
ORD1063,2026-02-16,north,Gadget X,9,155.7,1401.3
ORD1064,2026-06-23,South,Widget A,19,14.87,282.53
ORD1065,2026-04-13,South,Widget B,4,142.46,569.84
ORD1066,2026-01-26,North,Gadget X,12,$23.09,
ORD1067,2026-04-27,West,Gadget X,5,$92.73,463.65
ORD1068,2026-03-20,north,Gadget X,14,$166.88,2336.32
ORD1069,2026-02-27,East,Widget B,15,$118.26,1773.9
ORD1070,2026-04-28,West,Gadget X,11,$63.13,694.43
ORD1071,2026-05-01,South,Gadget X,16,115.47,1847.52
ORD1072,2026-06-16,North,Widget B,13,141.43,1838.59
ORD1073,2026-04-18,West,Widget A,11,76.83,845.13
ORD1074,2026-02-04,East,Widget A,6,$46.38,278.28
ORD1075,2026-05-25,East,Widget B,10,53.21,
ORD1076,2026-05-05,North,Widget B,16,29.48,471.68
ORD1077,2026-04-15,North,Gadget X,4,166.19,664.76
ORD1078,2026-06-22,South,Gadget X,3,198.83,596.49
ORD1079,2026-05-20,South,Gadget X,15,182.61,2739.15
ORD1080,2026-04-10,North,Widget A,7,128.84,901.88
ORD1081,2026-02-06,,Gadget X,20,99.27,1985.4
ORD1082,2026-03-23,North,Gadget X,19,$135.61,2576.59
ORD1083,2026-05-08,East,Widget A,2,41.52,83.04
ORD1084,2026-05-10,West,Gadget X,9,105.08,945.72
ORD1085,2026-01-14,north,Widget A,8,$192.75,1542.0
ORD1086,2026-01-25,East,Widget B,16,108.59,1737.44
ORD1087,2026-05-14,West,Gadget X,12,87.58,1050.96
ORD1088,2026-02-11,West,Gadget X,18,16.96,305.28
ORD1089,2026-01-25,north,Widget A,18,97.77,1759.86
ORD1090,2026-05-25,West,Widget B,9,$114.34,1029.06
ORD1091,2026-06-16, East ,Widget B,6,69.03,414.18
ORD1092,2026-02-27,West,Widget B,16,187.19,2995.04
ORD1093,2026-04-27,West,Widget A,5,$82.87,414.35
ORD1094,2026-02-28,West,Widget A,9,165.89,1493.01
ORD1095,2026-05-19,West,Gadget X,18,102.01,1836.18
ORD1096,2026-04-15,South,Widget B,19,$82.75,1572.25
ORD1097,2026-03-24,West,Widget B,16,193.31,3092.96
ORD1098,2026-03-28,West,Gadget X,1,147.25,147.25
ORD1099,2026-02-03,East,Gadget X,3,$171.83,515.49
ORD1100,2026-04-11,West,Widget A,20,$22.99,459.8
ORD1101,2026-02-24,North,Widget A,15,41.6,
ORD1102,2026-03-26,East,Widget B,8,$110.91,887.28
ORD1103,2026-02-06,West,Widget B,16,183.43,2934.88
ORD1104,2026-03-15,North,Gadget X,10,138.74,1387.4
ORD1105,2026-03-19,West,Gadget X,10,47.84,478.4
ORD1106,2026-02-13,north,Gadget X,1,$195.8,195.8
ORD1107,2026-05-28, East ,Widget A,16,$168.23,2691.68
ORD1108,2026-02-20,South,Widget A,9,$138.77,1248.93
ORD1109,2026-02-21, East ,Gadget X,15,16.33,244.95
ORD1110,2026-03-11,South,Widget A,12,$110.85,1330.2
ORD1111,2026-03-27,East,Gadget X,4,98.97,395.88
ORD1112,2026-02-28, East ,Widget A,12,27.15,325.8
ORD1113,2026-01-15, East ,Widget A,13,$166.25,2161.25
ORD1114,2/16/2026,north,Widget A,8,$133.04,1064.32
ORD1115,2026-06-10,North,Widget A,10,199.22,1992.2
ORD1116,2026-05-05,East,Widget A,14,$121.58,1702.12
ORD1117,2026-06-04,north,Gadget X,2,141.14,282.28
ORD1118,2026-02-28, East ,Gadget X,2,85.64,171.28
ORD1119,2026-04-03, East ,Widget A,2,159.48,318.96
ORD1120,2026-05-07,north,Widget B,8,72.42,579.36
ORD1121,2026-01-09,South,Widget A,9,161.71,1455.39
ORD1122,2026-02-01,South,Widget A,6,60.41,362.46
ORD1123,2026-01-24,West,Widget A,19,$30.71,583.49
ORD1124,2026-01-24, East ,Gadget X,1,21.55,21.55
ORD1125,2026-06-04,West,Widget A,11,125.57,1381.27
ORD1126,2026-06-19,East,Widget A,17,$66.02,1122.34
ORD1127,2026-06-04, East ,Widget A,7,$91.7,641.9
ORD1128,2026-04-13,North,Gadget X,9,81.11,729.99
ORD1129,2026-01-03,North,Gadget X,5,$115.7,578.5
ORD1130,2026-03-22,East,Gadget X,2,$193.99,387.98
ORD1131,2026-05-17, East ,Widget A,12,170.61,2047.32
ORD1132,2026-05-08,north,Widget A,20,$138.24,2764.8
ORD1133,2026-06-27,North,Gadget X,11,76.68,843.48
ORD1134,2026-06-13, East ,Widget A,3,151.75,455.25
ORD1135,2026-03-06, East ,Widget A,20,26.13,522.6
ORD1136,2026-05-02,East,Gadget X,16,125.33,2005.28
ORD1137,2026-05-04,North,Widget A,16,110.11,1761.76
ORD1138,5/2/2026,East,Widget B,9,64.98,584.82
ORD1139,2026-04-06,north,Widget A,18,$168.33,3029.94
ORD1140,2026-06-02,West,Gadget X,19,91.55,1739.45
ORD1141,2026-03-04,East,Widget A,15,$168.07,2521.05
ORD1142,2026-01-08,West,Gadget X,10,151.69,1516.9
ORD1143,2026-01-17,north,Gadget X,12,$148.19,1778.28
ORD1144,2026-02-04,South,Widget B,3,$43.65,130.95
ORD1145,2026-05-25, East ,Widget A,20,$71.4,1428.0
ORD1146,2026-04-03, East ,Gadget X,19,$20.66,392.54
ORD1147,2026-04-02,East,Widget A,20,122.87,2457.4
ORD1148,2026-06-02,north,Gadget X,20,100.36,2007.2
ORD1149,2026-01-26,East,Widget A,17,132.75,2256.75
ORD1150,2026-04-17,South,Gadget X,13,87.66,1139.58
ORD1151,2026-06-21,East,Gadget X,10,$57.87,578.7
ORD1152,2026-05-28,North,Widget B,12,$68.93,827.16
ORD1153,2026-02-20,North,Gadget X,11,$164.5,1809.5
ORD1154,2026-06-22,North,Gadget X,17,78.74,1338.58
ORD1155,2026-02-11,West,Widget B,5,$24.65,123.25
ORD1156,2026-05-27,north,Gadget X,20,34.89,697.8
ORD1157,2026-06-25,South,Widget A,14,$79.21,1108.94
ORD1158,2026-05-10,West,Widget B,10,$193.45,1934.5
ORD1159,2026-02-12,north,Gadget X,10,$157.83,1578.3
ORD1160,2026-02-27,north,Gadget X,2,$131.81,263.62
ORD1161,2026-01-23,North,Widget B,9,$95.36,858.24
ORD1162,2026-01-08,East,Gadget X,2,85.32,170.64
ORD1163,2026-01-12,East,Gadget X,5,36.13,180.65
ORD1164,2026-06-27, East ,Widget A,1,182.1,182.1
ORD1165,2026-02-18,north,Widget A,10,55.14,551.4
ORD1166,2026-06-26,North,Gadget X,20,$111.84,2236.8
ORD1167,2026-06-05,North,Widget B,19,$89.14,1693.66
ORD1168,2026-03-03,north,Widget A,18,$13.85,249.3
ORD1169,2026-04-12,North,Widget A,12,$55.8,669.6
ORD1170,2026-05-24,South,Widget A,11,164.56,1810.16
ORD1171,2026-04-23,South,Widget A,15,17.02,255.3
ORD1172,2026-01-11,north,Widget A,16,$58.12,929.92
ORD1173,2026-03-28, East ,Widget A,12,93.01,1116.12
ORD1174,2026-04-11,West,Gadget X,17,60.67,1031.39
ORD1175,2026-04-20,South,Gadget X,4,$25.2,100.8
ORD1176,2026-05-23, East ,Gadget X,2,$148.08,296.16
ORD1177,2026-04-09,North,Gadget X,12,$107.48,1289.76
ORD1178,2026-01-05, East ,Widget A,5,$22.76,113.8
ORD1179,4/19/2026,South,Gadget X,12,94.34,1132.08
ORD1180,2026-03-13,East,Widget A,1,149.77,149.77
ORD1181,2026-05-04,East,Widget B,20,$64.25,1285.0
ORD1182,2026-01-05,West,Gadget X,3,$163.99,491.97
ORD1183,2026-06-12,north,Gadget X,6,$145.23,871.38
ORD1184,2026-03-17,South,Widget B,16,$14.98,239.68
ORD1185,2026-05-05,North,Gadget X,16,$109.87,1757.92
ORD1186,2026-01-05, East ,Gadget X,17,$75.45,1282.65
ORD1187,2026-06-19,South,Widget A,4,108.43,433.72
ORD1188,2026-06-08,north,Widget A,9,$47.29,425.61
ORD1189,2026-06-10,North,Widget B,19,188.9,3589.1
ORD1190,2026-06-20,north,Widget A,3,$18.63,55.89
ORD1191,2026-06-07,West,Widget A,16,$178.9,2862.4
ORD1192,2026-03-16, East ,Gadget X,3,140.83,422.49
ORD1193,2026-04-07,South,Gadget X,12,195.31,2343.72
ORD1194,2026-05-04,West,Gadget X,8,36.76,294.08
ORD1195,2026-05-14,South,Widget A,11,46.06,506.66
ORD1196,2026-04-16,,Gadget X,17,96.86,1646.62
ORD1197,2026-01-02,north,Gadget X,10,$111.96,1119.6
ORD1198,2026-03-24,West,Gadget X,2,118.34,236.68
ORD1199,2026-01-13,north,Widget A,20,$32.56,651.2
ORD1200,2026-03-18,South,Widget A,13,105.0,1365.0
ORD1005,2026-01-13,East,Widget A,12,$119.69,1436.28
ORD1010,2026-06-15,South,Widget A,18,$59.91,1078.38
ORD9999,2026-03-15,North,Gadget X,500,199.99,99995.0
